"V1" "V2" "V3" "V1.1" "V2.1" "V6"
"Gm36908" "ENSMUSG00000112630_Gm36908" "lincRNA" "10" "ENSMUSG00000112630" "Gm36908" "Gm36908"
"Gm4510" "ENSMUSG00000112632_Gm4510" "processed_pseudogene" "10" "ENSMUSG00000112632" "Gm4510" "Gm4510"
"Gm47737" "ENSMUSG00000112634_Gm47737" "TEC" "10" "ENSMUSG00000112634" "Gm47737" "Gm47737"
"Gm47397" "ENSMUSG00000112635_Gm47397" "lincRNA" "12" "ENSMUSG00000112635" "Gm47397" "Gm47397"
"Gm47223" "ENSMUSG00000112636_Gm47223" "lincRNA" "10" "ENSMUSG00000112636" "Gm47223" "Gm47223"
"Gm48225" "ENSMUSG00000112637_Gm48225" "TEC" "12" "ENSMUSG00000112637" "Gm48225" "Gm48225"
"A730063M14Rik" "ENSMUSG00000112639_A730063M14Rik" "lincRNA" "10" "ENSMUSG00000112639" "A730063M14Rik" "A730063M14Rik"
"Gm32687" "ENSMUSG00000112640_Gm32687" "protein_coding" "10" "ENSMUSG00000112640" "Gm32687" "Gm32687"
"Gm17849" "ENSMUSG00000112642_Gm17849" "processed_pseudogene" "10" "ENSMUSG00000112642" "Gm17849" "Gm17849"
"Gm19688" "ENSMUSG00000112643_Gm19688" "processed_pseudogene" "10" "ENSMUSG00000112643" "Gm19688" "Gm19688"
"Gm48787" "ENSMUSG00000112645_Gm48787" "processed_pseudogene" "10" "ENSMUSG00000112645" "Gm48787" "Gm48787"
"Gm5654" "ENSMUSG00000112646_Gm5654" "processed_pseudogene" "12" "ENSMUSG00000112646" "Gm5654" "Gm5654"
"Gm5427" "ENSMUSG00000112647_Gm5427" "lincRNA" "10" "ENSMUSG00000112647" "Gm5427" "Gm5427"
"Gm5184" "ENSMUSG00000112650_Gm5184" "processed_pseudogene" "12" "ENSMUSG00000112650" "Gm5184" "Gm5184"
"Gm18623" "ENSMUSG00000112651_Gm18623" "processed_pseudogene" "12" "ENSMUSG00000112651" "Gm18623" "Gm18623"
"4921516A02Rik" "ENSMUSG00000112652_4921516A02Rik" "antisense" "10" "ENSMUSG00000112652" "4921516A02Rik" "4921516A02Rik"
"4930455C13Rik" "ENSMUSG00000112654_4930455C13Rik" "antisense" "10" "ENSMUSG00000112654" "4930455C13Rik" "4930455C13Rik"
"Gm48511" "ENSMUSG00000112655_Gm48511" "TEC" "12" "ENSMUSG00000112655" "Gm48511" "Gm48511"
"Gm40646" "ENSMUSG00000112659_Gm40646" "lincRNA" "10" "ENSMUSG00000112659" "Gm40646" "Gm40646"
"Gm6869" "ENSMUSG00000112661_Gm6869" "unprocessed_pseudogene" "12" "ENSMUSG00000112661" "Gm6869" "Gm6869"
"Gm47922" "ENSMUSG00000112662_Gm47922" "lincRNA" "10" "ENSMUSG00000112662" "Gm47922" "Gm47922"
"C630031E19Rik" "ENSMUSG00000112663_C630031E19Rik" "antisense" "12" "ENSMUSG00000112663" "C630031E19Rik" "C630031E19Rik"
"Gm48485" "ENSMUSG00000112666_Gm48485" "lincRNA" "10" "ENSMUSG00000112666" "Gm48485" "Gm48485"
"Gm48376" "ENSMUSG00000112668_Gm48376" "processed_pseudogene" "10" "ENSMUSG00000112668" "Gm48376" "Gm48376"
"Gm48689" "ENSMUSG00000112669_Gm48689" "antisense" "10" "ENSMUSG00000112669" "Gm48689" "Gm48689"
"Gm18042" "ENSMUSG00000112670_Gm18042" "processed_pseudogene" "10" "ENSMUSG00000112670" "Gm18042" "Gm18042"
"Gm18242" "ENSMUSG00000112671_Gm18242" "processed_pseudogene" "12" "ENSMUSG00000112671" "Gm18242" "Gm18242"
"Gm7413" "ENSMUSG00000112673_Gm7413" "processed_pseudogene" "10" "ENSMUSG00000112673" "Gm7413" "Gm7413"
"Gm47459" "ENSMUSG00000112674_Gm47459" "lincRNA" "10" "ENSMUSG00000112674" "Gm47459" "Gm47459"
"Gm48892" "ENSMUSG00000112675_Gm48892" "processed_pseudogene" "10" "ENSMUSG00000112675" "Gm48892" "Gm48892"
"Gm20108" "ENSMUSG00000112676_Gm20108" "processed_pseudogene" "10" "ENSMUSG00000112676" "Gm20108" "Gm20108"
"Gm47492" "ENSMUSG00000112678_Gm47492" "processed_pseudogene" "10" "ENSMUSG00000112678" "Gm47492" "Gm47492"
"Gm40603" "ENSMUSG00000112679_Gm40603" "lincRNA" "10" "ENSMUSG00000112679" "Gm40603" "Gm40603"
"Gm47622" "ENSMUSG00000112681_Gm47622" "sense_intronic" "10" "ENSMUSG00000112681" "Gm47622" "Gm47622"
"Gm18904" "ENSMUSG00000112683_Gm18904" "processed_pseudogene" "10" "ENSMUSG00000112683" "Gm18904" "Gm18904"
"Gm40421" "ENSMUSG00000112685_Gm40421" "lincRNA" "12" "ENSMUSG00000112685" "Gm40421" "Gm40421"
"Gm7034" "ENSMUSG00000112686_Gm7034" "processed_pseudogene" "10" "ENSMUSG00000112686" "Gm7034" "Gm7034"
"Gm18871" "ENSMUSG00000112687_Gm18871" "processed_pseudogene" "12" "ENSMUSG00000112687" "Gm18871" "Gm18871"
"Gm19073" "ENSMUSG00000112692_Gm19073" "processed_pseudogene" "10" "ENSMUSG00000112692" "Gm19073" "Gm19073"
"Gm5512" "ENSMUSG00000112693_Gm5512" "transcribed_unprocessed_pseudogene" "19" "ENSMUSG00000112693" "Gm5512" "Gm5512"
"Gm33037" "ENSMUSG00000112694_Gm33037" "antisense" "12" "ENSMUSG00000112694" "Gm33037" "Gm33037"
"Gm48815" "ENSMUSG00000112696_Gm48815" "processed_pseudogene" "10" "ENSMUSG00000112696" "Gm48815" "Gm48815"
"2310002D06Rik" "ENSMUSG00000112701_2310002D06Rik" "lincRNA" "12" "ENSMUSG00000112701" "2310002D06Rik" "2310002D06Rik"
"Gm46329" "ENSMUSG00000112704_Gm46329" "lincRNA" "12" "ENSMUSG00000112704" "Gm46329" "Gm46329"
"Gm47552" "ENSMUSG00000112705_Gm47552" "lincRNA" "12" "ENSMUSG00000112705" "Gm47552" "Gm47552"
"D830005E20Rik" "ENSMUSG00000112707_D830005E20Rik" "antisense" "10" "ENSMUSG00000112707" "D830005E20Rik" "D830005E20Rik"
"Gm8255" "ENSMUSG00000112708_Gm8255" "processed_pseudogene" "12" "ENSMUSG00000112708" "Gm8255" "Gm8255"
"Gm18755" "ENSMUSG00000112712_Gm18755" "processed_pseudogene" "10" "ENSMUSG00000112712" "Gm18755" "Gm18755"
"Gm48281" "ENSMUSG00000112713_Gm48281" "lincRNA" "10" "ENSMUSG00000112713" "Gm48281" "Gm48281"
"4930471E19Rik" "ENSMUSG00000112716_4930471E19Rik" "lincRNA" "10" "ENSMUSG00000112716" "4930471E19Rik" "4930471E19Rik"
"Gm35608" "ENSMUSG00000112721_Gm35608" "lincRNA" "10" "ENSMUSG00000112721" "Gm35608" "Gm35608"
"Gm3942" "ENSMUSG00000112722_Gm3942" "lincRNA" "10" "ENSMUSG00000112722" "Gm3942" "Gm3942"
"Gm47699" "ENSMUSG00000112724_Gm47699" "processed_pseudogene" "10" "ENSMUSG00000112724" "Gm47699" "Gm47699"
"Gm17794" "ENSMUSG00000112727_Gm17794" "processed_pseudogene" "10" "ENSMUSG00000112727" "Gm17794" "Gm17794"
"Gm48903" "ENSMUSG00000112728_Gm48903" "lincRNA" "10" "ENSMUSG00000112728" "Gm48903" "Gm48903"
"Gm46231" "ENSMUSG00000112729_Gm46231" "processed_pseudogene" "10" "ENSMUSG00000112729" "Gm46231" "Gm46231"
"4930567K20Rik" "ENSMUSG00000112730_4930567K20Rik" "antisense" "10" "ENSMUSG00000112730" "4930567K20Rik" "4930567K20Rik"
"Gm47343" "ENSMUSG00000112732_Gm47343" "lincRNA" "10" "ENSMUSG00000112732" "Gm47343" "Gm47343"
"AC155941.1" "ENSMUSG00000112733_AC155941.1" "lincRNA" "10" "ENSMUSG00000112733" "AC155941.1" "AC155941.1"
"Gm47644" "ENSMUSG00000112734_Gm47644" "sense_intronic" "10" "ENSMUSG00000112734" "Gm47644" "Gm47644"
"Gm48718" "ENSMUSG00000112736_Gm48718" "TEC" "10" "ENSMUSG00000112736" "Gm48718" "Gm48718"
"Gm20597" "ENSMUSG00000112739_Gm20597" "lincRNA" "10" "ENSMUSG00000112739" "Gm20597" "Gm20597"
"Gm47341" "ENSMUSG00000112741_Gm47341" "TEC" "10" "ENSMUSG00000112741" "Gm47341" "Gm47341"
"Gm31793" "ENSMUSG00000112742_Gm31793" "lincRNA" "10" "ENSMUSG00000112742" "Gm31793" "Gm31793"
"Gm49358" "ENSMUSG00000112743_Gm49358" "protein_coding" "10" "ENSMUSG00000112743" "Gm49358" "Gm49358"
"Gm48880" "ENSMUSG00000112744_Gm48880" "TEC" "10" "ENSMUSG00000112744" "Gm48880" "Gm48880"
"Gm48025" "ENSMUSG00000112745_Gm48025" "sense_intronic" "10" "ENSMUSG00000112745" "Gm48025" "Gm48025"
"Gm19309" "ENSMUSG00000112746_Gm19309" "processed_pseudogene" "12" "ENSMUSG00000112746" "Gm19309" "Gm19309"
"Gm48721" "ENSMUSG00000112747_Gm48721" "lincRNA" "10" "ENSMUSG00000112747" "Gm48721" "Gm48721"
"Gm48428" "ENSMUSG00000112749_Gm48428" "lincRNA" "10" "ENSMUSG00000112749" "Gm48428" "Gm48428"
"Gm47534" "ENSMUSG00000112750_Gm47534" "processed_pseudogene" "10" "ENSMUSG00000112750" "Gm47534" "Gm47534"
"Gm48084" "ENSMUSG00000112751_Gm48084" "antisense" "10" "ENSMUSG00000112751" "Gm48084" "Gm48084"
"Gm48021" "ENSMUSG00000112752_Gm48021" "lincRNA" "10" "ENSMUSG00000112752" "Gm48021" "Gm48021"
"Gm46190" "ENSMUSG00000112755_Gm46190" "processed_pseudogene" "10" "ENSMUSG00000112755" "Gm46190" "Gm46190"
"Gm48014" "ENSMUSG00000112756_Gm48014" "TEC" "12" "ENSMUSG00000112756" "Gm48014" "Gm48014"
"Gm10743" "ENSMUSG00000112757_Gm10743" "TEC" "10" "ENSMUSG00000112757" "Gm10743" "Gm10743"
"Gm47615" "ENSMUSG00000112759_Gm47615" "TEC" "10" "ENSMUSG00000112759" "Gm47615" "Gm47615"
"4930459C07Rik" "ENSMUSG00000112762_4930459C07Rik" "lincRNA" "10" "ENSMUSG00000112762" "4930459C07Rik" "4930459C07Rik"
"Gm34304" "ENSMUSG00000112763_Gm34304" "lincRNA" "12" "ENSMUSG00000112763" "Gm34304" "Gm34304"
"9430078K24Rik" "ENSMUSG00000112765_9430078K24Rik" "lincRNA" "12" "ENSMUSG00000112765" "9430078K24Rik" "9430078K24Rik"
"Gm40645" "ENSMUSG00000112766_Gm40645" "antisense" "10" "ENSMUSG00000112766" "Gm40645" "Gm40645"
"Gm47532" "ENSMUSG00000112767_Gm47532" "lincRNA" "10" "ENSMUSG00000112767" "Gm47532" "Gm47532"
"Gm48517" "ENSMUSG00000112768_Gm48517" "unprocessed_pseudogene" "12" "ENSMUSG00000112768" "Gm48517" "Gm48517"
"Gm48210" "ENSMUSG00000112770_Gm48210" "TEC" "12" "ENSMUSG00000112770" "Gm48210" "Gm48210"
"Gm47718" "ENSMUSG00000112771_Gm47718" "lincRNA" "10" "ENSMUSG00000112771" "Gm47718" "Gm47718"
"Gm3137" "ENSMUSG00000112773_Gm3137" "lincRNA" "10" "ENSMUSG00000112773" "Gm3137" "Gm3137"
"Gm36041" "ENSMUSG00000112774_Gm36041" "lincRNA" "10" "ENSMUSG00000112774" "Gm36041" "Gm36041"
"Gm48722" "ENSMUSG00000112775_Gm48722" "lincRNA" "10" "ENSMUSG00000112775" "Gm48722" "Gm48722"
"Gm33677" "ENSMUSG00000112778_Gm33677" "lincRNA" "10" "ENSMUSG00000112778" "Gm33677" "Gm33677"
"Gm18029" "ENSMUSG00000112779_Gm18029" "processed_pseudogene" "12" "ENSMUSG00000112779" "Gm18029" "Gm18029"
"Gm7940" "ENSMUSG00000112782_Gm7940" "processed_pseudogene" "10" "ENSMUSG00000112782" "Gm7940" "Gm7940"
"Gm34868" "ENSMUSG00000112784_Gm34868" "antisense" "12" "ENSMUSG00000112784" "Gm34868" "Gm34868"
"Gm47696" "ENSMUSG00000112786_Gm47696" "processed_pseudogene" "10" "ENSMUSG00000112786" "Gm47696" "Gm47696"
"Gm48790" "ENSMUSG00000112787_Gm48790" "lincRNA" "12" "ENSMUSG00000112787" "Gm48790" "Gm48790"
"Gm19326" "ENSMUSG00000112789_Gm19326" "processed_pseudogene" "10" "ENSMUSG00000112789" "Gm19326" "Gm19326"
"Gm33378" "ENSMUSG00000112790_Gm33378" "TEC" "10" "ENSMUSG00000112790" "Gm33378" "Gm33378"
"Gm38407" "ENSMUSG00000112792_Gm38407" "lincRNA" "12" "ENSMUSG00000112792" "Gm38407" "Gm38407"
"Gm32872" "ENSMUSG00000112793_Gm32872" "antisense" "10" "ENSMUSG00000112793" "Gm32872" "Gm32872"
"Gm48878" "ENSMUSG00000112794_Gm48878" "TEC" "10" "ENSMUSG00000112794" "Gm48878" "Gm48878"
"Gm2027" "ENSMUSG00000112795_Gm2027" "processed_pseudogene" "12" "ENSMUSG00000112795" "Gm2027" "Gm2027"
"Gm40770" "ENSMUSG00000112796_Gm40770" "lincRNA" "10" "ENSMUSG00000112796" "Gm40770" "Gm40770"
"Gm30034" "ENSMUSG00000112797_Gm30034" "lincRNA" "10" "ENSMUSG00000112797" "Gm30034" "Gm30034"
"Gm48100" "ENSMUSG00000112799_Gm48100" "processed_pseudogene" "12" "ENSMUSG00000112799" "Gm48100" "Gm48100"
"Gm40604" "ENSMUSG00000112800_Gm40604" "lincRNA" "10" "ENSMUSG00000112800" "Gm40604" "Gm40604"
"Gm36543" "ENSMUSG00000112803_Gm36543" "lincRNA" "10" "ENSMUSG00000112803" "Gm36543" "Gm36543"
"Gm30534" "ENSMUSG00000112804_Gm30534" "processed_pseudogene" "10" "ENSMUSG00000112804" "Gm30534" "Gm30534"
"Gm34574" "ENSMUSG00000112805_Gm34574" "lincRNA" "10" "ENSMUSG00000112805" "Gm34574" "Gm34574"
"Gm48146" "ENSMUSG00000112806_Gm48146" "TEC" "10" "ENSMUSG00000112806" "Gm48146" "Gm48146"
"Gm47519" "ENSMUSG00000112807_Gm47519" "TEC" "10" "ENSMUSG00000112807" "Gm47519" "Gm47519"
"Gm47915" "ENSMUSG00000112809_Gm47915" "lincRNA" "10" "ENSMUSG00000112809" "Gm47915" "Gm47915"
"Gm35101" "ENSMUSG00000112810_Gm35101" "lincRNA" "10" "ENSMUSG00000112810" "Gm35101" "Gm35101"
"Gm7422" "ENSMUSG00000112811_Gm7422" "processed_pseudogene" "12" "ENSMUSG00000112811" "Gm7422" "Gm7422"
"Gm47415" "ENSMUSG00000112812_Gm47415" "lincRNA" "12" "ENSMUSG00000112812" "Gm47415" "Gm47415"
"Gm34376" "ENSMUSG00000112813_Gm34376" "lincRNA" "10" "ENSMUSG00000112813" "Gm34376" "Gm34376"
"Gm48798" "ENSMUSG00000112816_Gm48798" "TEC" "10" "ENSMUSG00000112816" "Gm48798" "Gm48798"
"Gm48122" "ENSMUSG00000112817_Gm48122" "processed_pseudogene" "12" "ENSMUSG00000112817" "Gm48122" "Gm48122"
"AC153830.1" "ENSMUSG00000112818_AC153830.1" "lincRNA" "10" "ENSMUSG00000112818" "AC153830.1" "AC153830.1"
"Gm46332" "ENSMUSG00000112819_Gm46332" "lincRNA" "12" "ENSMUSG00000112819" "Gm46332" "Gm46332"
"Gm48298" "ENSMUSG00000112820_Gm48298" "TEC" "10" "ENSMUSG00000112820" "Gm48298" "Gm48298"
"1700104L18Rik" "ENSMUSG00000112821_1700104L18Rik" "lincRNA" "12" "ENSMUSG00000112821" "1700104L18Rik" "1700104L18Rik"
"A130012E19Rik" "ENSMUSG00000112822_A130012E19Rik" "TEC" "10" "ENSMUSG00000112822" "A130012E19Rik" "A130012E19Rik"
"Gm47917" "ENSMUSG00000112824_Gm47917" "antisense" "10" "ENSMUSG00000112824" "Gm47917" "Gm47917"
"Gm9118" "ENSMUSG00000112825_Gm9118" "processed_pseudogene" "10" "ENSMUSG00000112825" "Gm9118" "Gm9118"
"Gm29696" "ENSMUSG00000112829_Gm29696" "processed_pseudogene" "12" "ENSMUSG00000112829" "Gm29696" "Gm29696"
"AC167229.1" "ENSMUSG00000112831_AC167229.1" "lincRNA" "10" "ENSMUSG00000112831" "AC167229.1" "AC167229.1"
"Gm36595" "ENSMUSG00000112833_Gm36595" "lincRNA" "10" "ENSMUSG00000112833" "Gm36595" "Gm36595"
"Gm36173" "ENSMUSG00000112835_Gm36173" "lincRNA" "10" "ENSMUSG00000112835" "Gm36173" "Gm36173"
"Gm47006" "ENSMUSG00000112836_Gm47006" "processed_pseudogene" "10" "ENSMUSG00000112836" "Gm47006" "Gm47006"
"Gm48053" "ENSMUSG00000112837_Gm48053" "lincRNA" "10" "ENSMUSG00000112837" "Gm48053" "Gm48053"
"Gm47098" "ENSMUSG00000112838_Gm47098" "processed_pseudogene" "10" "ENSMUSG00000112838" "Gm47098" "Gm47098"
"Gm20049" "ENSMUSG00000112840_Gm20049" "processed_pseudogene" "12" "ENSMUSG00000112840" "Gm20049" "Gm20049"
"Gm48752" "ENSMUSG00000112841_Gm48752" "TEC" "10" "ENSMUSG00000112841" "Gm48752" "Gm48752"
"Gm30232" "ENSMUSG00000112842_Gm30232" "transcribed_unprocessed_pseudogene" "10" "ENSMUSG00000112842" "Gm30232" "Gm30232"
"Gm46224" "ENSMUSG00000112843_Gm46224" "lincRNA" "10" "ENSMUSG00000112843" "Gm46224" "Gm46224"
"Gm47143" "ENSMUSG00000112845_Gm47143" "lincRNA" "10" "ENSMUSG00000112845" "Gm47143" "Gm47143"
"4930432O09Rik" "ENSMUSG00000112846_4930432O09Rik" "lincRNA" "10" "ENSMUSG00000112846" "4930432O09Rik" "4930432O09Rik"
"Gm47573" "ENSMUSG00000112847_Gm47573" "TEC" "10" "ENSMUSG00000112847" "Gm47573" "Gm47573"
"Gm18040" "ENSMUSG00000112849_Gm18040" "processed_pseudogene" "10" "ENSMUSG00000112849" "Gm18040" "Gm18040"
"Gm9176" "ENSMUSG00000112850_Gm9176" "processed_pseudogene" "10" "ENSMUSG00000112850" "Gm9176" "Gm9176"
"Gm47767" "ENSMUSG00000112852_Gm47767" "antisense" "12" "ENSMUSG00000112852" "Gm47767" "Gm47767"
"Gm38403" "ENSMUSG00000112854_Gm38403" "lincRNA" "10" "ENSMUSG00000112854" "Gm38403" "Gm38403"
"Gm35041" "ENSMUSG00000112857_Gm35041" "lincRNA" "12" "ENSMUSG00000112857" "Gm35041" "Gm35041"
"Rnf212b" "ENSMUSG00000112858_Rnf212b" "protein_coding" "14" "ENSMUSG00000112858" "Rnf212b" "Rnf212b"
"Gm48522" "ENSMUSG00000112859_Gm48522" "lincRNA" "12" "ENSMUSG00000112859" "Gm48522" "Gm48522"
"Gm47439" "ENSMUSG00000112860_Gm47439" "antisense" "12" "ENSMUSG00000112860" "Gm47439" "Gm47439"
"Gm47094" "ENSMUSG00000112862_Gm47094" "processed_pseudogene" "10" "ENSMUSG00000112862" "Gm47094" "Gm47094"
"Gm19181" "ENSMUSG00000112863_Gm19181" "processed_pseudogene" "10" "ENSMUSG00000112863" "Gm19181" "Gm19181"
"AC155255.1" "ENSMUSG00000112865_AC155255.1" "lincRNA" "12" "ENSMUSG00000112865" "AC155255.1" "AC155255.1"
"Gm47704" "ENSMUSG00000112866_Gm47704" "TEC" "10" "ENSMUSG00000112866" "Gm47704" "Gm47704"
"4930520K02Rik" "ENSMUSG00000112868_4930520K02Rik" "lincRNA" "10" "ENSMUSG00000112868" "4930520K02Rik" "4930520K02Rik"
"Gm48108" "ENSMUSG00000112869_Gm48108" "processed_pseudogene" "10" "ENSMUSG00000112869" "Gm48108" "Gm48108"
"Gm40689" "ENSMUSG00000112870_Gm40689" "lincRNA" "10" "ENSMUSG00000112870" "Gm40689" "Gm40689"
"Gm47058" "ENSMUSG00000112872_Gm47058" "processed_pseudogene" "10" "ENSMUSG00000112872" "Gm47058" "Gm47058"
"Gm48877" "ENSMUSG00000112873_Gm48877" "antisense" "10" "ENSMUSG00000112873" "Gm48877" "Gm48877"
"Gm34297" "ENSMUSG00000112874_Gm34297" "lincRNA" "10" "ENSMUSG00000112874" "Gm34297" "Gm34297"
"Gm48074" "ENSMUSG00000112875_Gm48074" "TEC" "10" "ENSMUSG00000112875" "Gm48074" "Gm48074"
"Gm32443" "ENSMUSG00000112876_Gm32443" "lincRNA" "12" "ENSMUSG00000112876" "Gm32443" "Gm32443"
"Gm20337" "ENSMUSG00000112880_Gm20337" "bidirectional_promoter_lncRNA" "12" "ENSMUSG00000112880" "Gm20337" "Gm20337"
"Gm49344" "ENSMUSG00000112881_Gm49344" "TEC" "10" "ENSMUSG00000112881" "Gm49344" "Gm49344"
"Gm48023" "ENSMUSG00000112883_Gm48023" "lincRNA" "10" "ENSMUSG00000112883" "Gm48023" "Gm48023"
"Gm47946" "ENSMUSG00000112884_Gm47946" "lincRNA" "10" "ENSMUSG00000112884" "Gm47946" "Gm47946"
"Gm47073" "ENSMUSG00000112889_Gm47073" "TEC" "10" "ENSMUSG00000112889" "Gm47073" "Gm47073"
"Gm47391" "ENSMUSG00000112891_Gm47391" "lincRNA" "12" "ENSMUSG00000112891" "Gm47391" "Gm47391"
"Gm8613" "ENSMUSG00000112892_Gm8613" "processed_pseudogene" "10" "ENSMUSG00000112892" "Gm8613" "Gm8613"
"Gm47009" "ENSMUSG00000112894_Gm47009" "antisense" "10" "ENSMUSG00000112894" "Gm47009" "Gm47009"
"Gm47567" "ENSMUSG00000112895_Gm47567" "TEC" "12" "ENSMUSG00000112895" "Gm47567" "Gm47567"
"Gm8633" "ENSMUSG00000112896_Gm8633" "lincRNA" "10" "ENSMUSG00000112896" "Gm8633" "Gm8633"
"Gm47831" "ENSMUSG00000112897_Gm47831" "TEC" "10" "ENSMUSG00000112897" "Gm47831" "Gm47831"
"Gm47020" "ENSMUSG00000112898_Gm47020" "lincRNA" "12" "ENSMUSG00000112898" "Gm47020" "Gm47020"
"Gm48204" "ENSMUSG00000112900_Gm48204" "TEC" "10" "ENSMUSG00000112900" "Gm48204" "Gm48204"
"Gm47030" "ENSMUSG00000112904_Gm47030" "lincRNA" "12" "ENSMUSG00000112904" "Gm47030" "Gm47030"
"Gm47477" "ENSMUSG00000112905_Gm47477" "TEC" "10" "ENSMUSG00000112905" "Gm47477" "Gm47477"
"Gm18189" "ENSMUSG00000112906_Gm18189" "processed_pseudogene" "10" "ENSMUSG00000112906" "Gm18189" "Gm18189"
"Gm7392" "ENSMUSG00000112908_Gm7392" "processed_pseudogene" "12" "ENSMUSG00000112908" "Gm7392" "Gm7392"
"Gm10120" "ENSMUSG00000112909_Gm10120" "processed_pseudogene" "10" "ENSMUSG00000112909" "Gm10120" "Gm10120"
"Gm29685" "ENSMUSG00000112910_Gm29685" "lincRNA" "10" "ENSMUSG00000112910" "Gm29685" "Gm29685"
"Gm30853" "ENSMUSG00000112913_Gm30853" "lincRNA" "10" "ENSMUSG00000112913" "Gm30853" "Gm30853"
"Gm47702" "ENSMUSG00000112914_Gm47702" "TEC" "10" "ENSMUSG00000112914" "Gm47702" "Gm47702"
"Gm18622" "ENSMUSG00000112916_Gm18622" "processed_pseudogene" "12" "ENSMUSG00000112916" "Gm18622" "Gm18622"
"Gm47331" "ENSMUSG00000112917_Gm47331" "processed_pseudogene" "10" "ENSMUSG00000112917" "Gm47331" "Gm47331"
"Gm18120" "ENSMUSG00000112918_Gm18120" "processed_pseudogene" "10" "ENSMUSG00000112918" "Gm18120" "Gm18120"
"Gm47572" "ENSMUSG00000112922_Gm47572" "TEC" "10" "ENSMUSG00000112922" "Gm47572" "Gm47572"
"Gm8768" "ENSMUSG00000112923_Gm8768" "processed_pseudogene" "10" "ENSMUSG00000112923" "Gm8768" "Gm8768"
"4930579P08Rik" "ENSMUSG00000112924_4930579P08Rik" "lincRNA" "10" "ENSMUSG00000112924" "4930579P08Rik" "4930579P08Rik"
"Gm31763" "ENSMUSG00000112925_Gm31763" "antisense" "10" "ENSMUSG00000112925" "Gm31763" "Gm31763"
"Gm7172" "ENSMUSG00000112926_Gm7172" "processed_pseudogene" "12" "ENSMUSG00000112926" "Gm7172" "Gm7172"
"Gm48332" "ENSMUSG00000112927_Gm48332" "TEC" "10" "ENSMUSG00000112927" "Gm48332" "Gm48332"
"Gm47710" "ENSMUSG00000112928_Gm47710" "lincRNA" "10" "ENSMUSG00000112928" "Gm47710" "Gm47710"
"Gm47729" "ENSMUSG00000112929_Gm47729" "lincRNA" "10" "ENSMUSG00000112929" "Gm47729" "Gm47729"
"Gm7086" "ENSMUSG00000112930_Gm7086" "transcribed_unprocessed_pseudogene" "15" "ENSMUSG00000112930" "Gm7086" "Gm7086"
"Gm48308" "ENSMUSG00000112932_Gm48308" "TEC" "10" "ENSMUSG00000112932" "Gm48308" "Gm48308"
"Gm32305" "ENSMUSG00000112934_Gm32305" "lincRNA" "13" "ENSMUSG00000112934" "Gm32305" "Gm32305"
"Gm40983" "ENSMUSG00000112935_Gm40983" "lincRNA" "13" "ENSMUSG00000112935" "Gm40983" "Gm40983"
"Gm33958" "ENSMUSG00000112936_Gm33958" "lincRNA" "13" "ENSMUSG00000112936" "Gm33958" "Gm33958"
"Gm17746" "ENSMUSG00000112937_Gm17746" "lincRNA" "12" "ENSMUSG00000112937" "Gm17746" "Gm17746"
"4930511J24Rik" "ENSMUSG00000112940_4930511J24Rik" "lincRNA" "12" "ENSMUSG00000112940" "4930511J24Rik" "4930511J24Rik"
"Gm48623" "ENSMUSG00000112941_Gm48623" "lincRNA" "13" "ENSMUSG00000112941" "Gm48623" "Gm48623"
"Gm47597" "ENSMUSG00000112942_Gm47597" "processed_pseudogene" "13" "ENSMUSG00000112942" "Gm47597" "Gm47597"
"Gm18983" "ENSMUSG00000112943_Gm18983" "processed_pseudogene" "12" "ENSMUSG00000112943" "Gm18983" "Gm18983"
"Gm48885" "ENSMUSG00000112944_Gm48885" "TEC" "13" "ENSMUSG00000112944" "Gm48885" "Gm48885"
"Gm32151" "ENSMUSG00000112945_Gm32151" "bidirectional_promoter_lncRNA" "12" "ENSMUSG00000112945" "Gm32151" "Gm32151"
"Gm9280" "ENSMUSG00000112946_Gm9280" "unprocessed_pseudogene" "12" "ENSMUSG00000112946" "Gm9280" "Gm9280"
"Gm47493" "ENSMUSG00000112947_Gm47493" "TEC" "13" "ENSMUSG00000112947" "Gm47493" "Gm47493"
"Gm48871" "ENSMUSG00000112948_Gm48871" "TEC" "13" "ENSMUSG00000112948" "Gm48871" "Gm48871"
"Gm21939" "ENSMUSG00000112949_Gm21939" "processed_pseudogene" "12" "ENSMUSG00000112949" "Gm21939" "Gm21939"
"Gm32369" "ENSMUSG00000112950_Gm32369" "lincRNA" "12" "ENSMUSG00000112950" "Gm32369" "Gm32369"
"Gm48889" "ENSMUSG00000112955_Gm48889" "TEC" "13" "ENSMUSG00000112955" "Gm48889" "Gm48889"
"4930547H16Rik" "ENSMUSG00000112957_4930547H16Rik" "lincRNA" "13" "ENSMUSG00000112957" "4930547H16Rik" "4930547H16Rik"
"Gm32834" "ENSMUSG00000112959_Gm32834" "lincRNA" "13" "ENSMUSG00000112959" "Gm32834" "Gm32834"
"Gm6093" "ENSMUSG00000112963_Gm6093" "lincRNA" "13" "ENSMUSG00000112963" "Gm6093" "Gm6093"
"E430024I08Rik" "ENSMUSG00000112964_E430024I08Rik" "lincRNA" "13" "ENSMUSG00000112964" "E430024I08Rik" "E430024I08Rik"
"Gm34278" "ENSMUSG00000112965_Gm34278" "lincRNA" "13" "ENSMUSG00000112965" "Gm34278" "Gm34278"
